State,Race13,Religion13,SexualOrientation13,Disability13,Gender13,GenderIdentity13,Normalized13,Race14,Religion14,SexualOrientation14,Disability14,Gender14,GenderIdentity14,Normalized14,Race15,Religion15,SexualOrientation15,Disability15,Gender15,GenderIdentity15,Normalized15,Race16,Religion16,SexualOrientation16,Disability16,Gender16,GenderIdentity16,RaceT,ReligionT,SexualOrientationT,DisabilityT,GenderT,GenderIdentityT,Normalized16
Ohio,268,17,61,24,0,0,104.58,300,26,69,8,0,0,111.9847996,309,39,58,10,0,0,119.4376263,336,35,60,9,1,1,935,117,248,51,1,1,122.3695634
Oklahoma,25,8,7,1,0,0,41.8,18,4,10,1,0,0,35.37615287,27,3,7,0,0,0,33.94931859,20,5,5,3,0,0,77,20,29,5,0,0,30.06272337
Oregon,41,10,14,1,0,0,53.55,17,3,6,0,0,0,64.57584256,41,9,11,5,0,0,145.0899897,61,23,17,2,0,1,110,45,48,8,0,1,72.73323575
Pennsylvania,45,11,8,0,0,0,30.23,41,8,1,0,0,0,21.31585328,40,12,11,0,0,1,31.02387447,40,9,11,1,0,0,137,40,31,1,0,1,29.32038566
Rhode Island,5,2,0,0,0,0,20.04,2,1,1,0,0,0,14.11657591,6,7,5,0,0,0,48.42261987,2,6,3,1,0,0,18,16,9,1,0,0,33.85098813
South Carolina,36,9,6,0,0,0,95.2,27,7,10,5,0,0,116.9717468,44,2,7,2,0,0,80.94409663,18,1,3,1,0,0,114,19,26,8,0,0,195.1752845
South Dakota,10,2,1,0,0,0,47.16,1,2,3,1,0,1,25.24162952,9,2,5,0,0,0,109.3887729,6,2,5,3,0,2,25,8,14,4,0,3,62.46249964
Tennessee,140,8,38,9,0,1,82.4,155,14,20,5,0,0,88.9029114,157,28,26,5,1,4,104.0744565,93,18,25,6,0,0,478,68,109,25,1,5,60.05212344
Texas,79,7,44,2,0,0,14.27,83,19,40,0,1,2,14.52208316,107,36,41,1,1,5,20.05690481,104,23,37,5,1,8,310,85,162,8,3,15,18.64379962
Utah,54,10,8,2,0,0,79.36,30,17,3,0,0,0,66.21534266,29,11,7,0,0,0,56.84297314,47,8,9,2,0,0,120,46,27,4,0,0,66.55074313
Vermont,8,1,3,0,0,0,103.84,7,3,1,4,0,0,138.4479511,5,0,2,0,0,1,140.9275973,16,5,3,1,0,0,22,9,9,5,0,1,184.6124702
Virginia,77,30,12,0,0,0,"23,741.74",79,16,22,1,0,0,54.39523524,108,24,24,2,0,0,79.19807756,76,21,22,3,0,0,288,91,80,6,0,0,70.11478195
Washington,190,40,49,7,4,1,101.75,203,50,43,3,8,1,109.1295641,160,43,57,3,3,9,90.64745868,239,61,70,2,3,14,610,194,219,15,18,25,126.786475
West Virginia,42,6,8,0,0,0,260.64,18,2,4,2,0,0,249.9548593,28,3,6,4,0,0,479.046218,30,1,7,3,0,0,94,12,25,9,0,0,202.9916469
Wisconsin,30,5,15,0,0,0,39.78,33,6,9,3,0,0,44.24365001,27,8,7,0,1,0,35.81675944,22,8,3,0,0,1,97,27,34,3,1,1,30.05145053
Wyoming,1,0,0,0,0,0,32.49,0,0,0,0,0,0,0,2,0,0,0,0,0,66.23839887,3,0,0,0,0,0,3,0,0,0,0,0,30.05145053
US,3492,1027,1220,82,18,31,0,3218,1017,1018,85,33,98,0,3333,1253,1070,76,26,114,0,3498,1293,1095,68,33,125,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,
